main_category,sub_category,product_name,price,discount,image_url,week_of_month,source,date
Fresh Foods,Chilled Food Counter,صدور تركي مدخن من فريش فارم,13,,"https://cdn.mafrservices.com/sys-master-root/h63/h74/46608042655774/555708_main.jpg?im=Resize=(300,300)",2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,تركي مدخن من حلواني,141,,"https://cdn.mafrservices.com/pim-content/EGY/media/product/318625/1742382004/318625_main.jpg?im=Resize=(300,300)",2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,لانشون بقري سادة من حلواني,73,,"https://cdn.mafrservices.com/sys-master-root/hfa/h51/51071949242398/318616_main.jpg?im=Resize=(300,300)",2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,بسطرمة من حلواني,225,,"https://cdn.mafrservices.com/pim-content/EGY/media/product/318615/1742387403/318615_main.jpg?im=Resize=(300,300)",2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,تست بيور صدور رومي مدخن,102,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,صدور تركي مدخن من المراعي,110,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,لانشون بيف سادة من مراعي,75,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,لانشون بقري بالزيتون من حلواني,73,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,طرشي سوبر من أوليفتا,15,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,فصوص رومي ريتش,207,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,هوت دوج بقري حلواني - 500 جرام,500,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,تركي مدخن من أطياب,120,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,فريش فارم سلامي مدخن,105,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,فصوص رومي مدخنة من فريش فارم - 1 كجم,215,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,سي ستار رنجة - 1 كجم,219,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,فيشر مان كافيار اسود - 100 جم,100,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,لانشون بقري بالفلفل الأسود من حلواني,73,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,فريش فارم بسطرمة بالثوم,210,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,زيتون أسباني من أوليفيتا,82,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,اللحيمي لانشون بقري سادة,17,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,فريش فارم صدور فراخ مدخنة,13,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,لانشون بسطرمة من المراعي,85,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,زيتون كالاماتا سبارتا يونانى من أوليفيتا,137,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,حلواني بيف سلامي,103,,,2,Carrefour Egypt,2026-05-11
Fresh Foods,Chilled Food Counter,فرانكفورتر بقري حلواني - 200 جم,200,,,2,Carrefour Egypt,2026-05-11
