product_name_clean,date,price,main_category,sub_category,discount
صدور تركي مدخن من فريش فارم,2026-05-11,13.0,Fresh Foods,Chilled Food Counter,0.0
تركي مدخن من حلواني,2026-05-11,141.0,Fresh Foods,Chilled Food Counter,0.0
لانشون بقري سادة من حلواني,2026-05-11,73.0,Fresh Foods,Chilled Food Counter,0.0
بسطرمة من حلواني,2026-05-11,225.0,Fresh Foods,Chilled Food Counter,0.0
تست بيور صدور رومي مدخن,2026-05-11,102.0,Fresh Foods,Chilled Food Counter,0.0
صدور تركي مدخن من المراعي,2026-05-11,110.0,Fresh Foods,Chilled Food Counter,0.0
لانشون بيف سادة من مراعي,2026-05-11,75.0,Fresh Foods,Chilled Food Counter,0.0
لانشون بقري بالزيتون من حلواني,2026-05-11,73.0,Fresh Foods,Chilled Food Counter,0.0
طرشي سوبر من أوليفتا,2026-05-11,15.0,Fresh Foods,Chilled Food Counter,0.0
فصوص رومي ريتش,2026-05-11,207.0,Fresh Foods,Chilled Food Counter,0.0
هوت دوج بقري حلواني - 500 جرام,2026-05-11,500.0,Fresh Foods,Chilled Food Counter,0.0
تركي مدخن من أطياب,2026-05-11,120.0,Fresh Foods,Chilled Food Counter,0.0
فريش فارم سلامي مدخن,2026-05-11,105.0,Fresh Foods,Chilled Food Counter,0.0
فصوص رومي مدخنة من فريش فارم - 1 كجم,2026-05-11,215.0,Fresh Foods,Chilled Food Counter,0.0
سي ستار رنجة - 1 كجم,2026-05-11,219.0,Fresh Foods,Chilled Food Counter,0.0
فيشر مان كافيار اسود - 100 جم,2026-05-11,100.0,Fresh Foods,Chilled Food Counter,0.0
لانشون بقري بالفلفل الأسود من حلواني,2026-05-11,73.0,Fresh Foods,Chilled Food Counter,0.0
فريش فارم بسطرمة بالثوم,2026-05-11,210.0,Fresh Foods,Chilled Food Counter,0.0
زيتون أسباني من أوليفيتا,2026-05-11,82.0,Fresh Foods,Chilled Food Counter,0.0
اللحيمي لانشون بقري سادة,2026-05-11,17.0,Fresh Foods,Chilled Food Counter,0.0
فريش فارم صدور فراخ مدخنة,2026-05-11,13.0,Fresh Foods,Chilled Food Counter,0.0
لانشون بسطرمة من المراعي,2026-05-11,85.0,Fresh Foods,Chilled Food Counter,0.0
زيتون كالاماتا سبارتا يونانى من أوليفيتا,2026-05-11,137.0,Fresh Foods,Chilled Food Counter,0.0
حلواني بيف سلامي,2026-05-11,103.0,Fresh Foods,Chilled Food Counter,0.0
فرانكفورتر بقري حلواني - 200 جم,2026-05-11,200.0,Fresh Foods,Chilled Food Counter,0.0
فريش فارم لحم بقري مدخن,2026-05-11,13.0,Fresh Foods,Chilled Food Counter,0.0
